1.400 0.04658 67.5
0.930 0.04658 68
0.970 0.04658 69
0.550 0.04658 71.5
0.520 0.04658 72
0.450 0.04658 73
0.420 0.04658 73.5
0.410 0.04658 74
0.490 0.04658 74.5
0.170 0.04658 76
0.200 0.04658 77
0.110 0.04658 79
0.080 0.04658 81
0.030 0.04658 86
12.250 0.12329 50
10.000 0.12329 52.5
7.100 0.12329 57.5
4.530 0.12329 62.5
2.740 0.12329 67.5
29.180 0.2 30
24.700 0.2 35
12.650 0.2 50
9.670 0.2 55
8.300 0.2 57.5
6.850 0.2 60
5.930 0.2 62.5
5.550 0.2 65
4.810 0.2 67.5
3.300 0.2 70
1.860 0.2 75
1.550 0.2 77.5
1.310 0.2 80
0.830 0.2 82.5
0.650 0.2 87.5
0.450 0.2 90
0.280 0.2 95
7.000 0.29589 62.5
21.800 0.54521 40
14.630 0.54521 50
12.180 0.54521 55
11.700 0.54521 57.5
9.350 0.54521 60
8.300 0.54521 62.5
7.480 0.54521 65
6.990 0.54521 67.5
5.300 0.54521 70
4.850 0.54521 72.5
3.800 0.54521 75
3.100 0.54521 80
2.500 0.54521 82.5
1.950 0.54521 85
1.500 0.54521 90
1.100 0.54521 95
0.800 0.54521 100
30.990 0.87123 30
16.250 0.87123 50
13.000 0.87123 55
12.550 0.87123 57.5
10.460 0.87123 60
10.250 0.87123 62.5
9.200 0.87123 65
7.550 0.87123 67.5
6.800 0.87123 70
5.700 0.87123 75
4.870 0.87123 77.5
4.000 0.87123 80
3.050 0.87123 85
3.000 0.87123 87.5
2.370 0.87123 90
2.150 0.87123 95
1.440 0.87123 97.5
1.470 0.87123 100
1.000 0.87123 105
0.390 0.87123 120
0.280 0.87123 125
0.500 0.87123 130
13.100 1.29315 57.5
13.000 1.29315 60
12.000 1.29315 62.5
7.980 1.29315 72.5
5.530 1.29315 80
5.000 1.29315 82.5
4.400 1.29315 85
3.480 1.29315 90
1.480 1.29315 115
19.940 1.88767 50
15.150 1.88767 57.5
14.620 1.88767 60
13.000 1.88767 65
10.640 1.88767 67.5
10.100 1.88767 70
10.000 1.88767 72.5
8.700 1.88767 75
7.500 1.88767 80
5.800 1.88767 90
2.110 1.88767 115
0.850 1.88767 140
